From,To,Start,Stop,Status,Duration,Filesize
BILS,FUNET,1456936720.23446,1456936725.05604,0,4.821,104857600
BILS,FUNET,1456937047.59889,1456937296.18132,0,248.582,10485760000
BILS,FUNET,1456937625.93213,1456937748.20098,0,122.268,10485760000
BILS,FUNET,1456938075.18022,1456938224.33578,0,149.155,10485760000
BILS,FUNET,1456938552.10109,1456938664.11997,0,112.018,10485760000
BILS,FUNET,1456939005.9578,1456939109.69545,0,103.737,10485760000
BILS,FUNET,1456939430.56776,1456939608.66295,0,178.095,10485760000
BILS,FUNET,1456939925.80299,1456940026.56153,0,100.758,10485760000
BILS,FUNET,1456940343.07471,1456940495.98196,0,152.907,10485760000
BILS,FUNET,1456940831.12443,1456940935.21363,0,104.089,10485760000
BILS,FUNET,1456941254.34658,1456941384.71259,0,130.366,10485760000
BILS,FUNET,1456941710.8458,1456941827.04763,0,116.201,10485760000
BILS,FUNET,1456942146.57738,1456942292.76877,0,146.191,10485760000
BILS,FUNET,1456942623.32978,1456942766.40144,0,143.071,10485760000
BILS,FUNET,1456943103.92232,1456943219.17841,0,115.256,10485760000
BILS,FUNET,1456943559.35258,1456943702.52638,0,143.173,10485760000
BILS,FUNET,1456944022.75661,1456944138.76486,0,116.008,10485760000
BILS,FUNET,1456944480.07525,1456944626.047,0,145.971,10485760000
BILS,FUNET,1456944954.51983,1456945088.41004,0,133.89,10485760000
BILS,FUNET,1456945417.90096,1456945543.40867,0,125.507,10485760000
BILS,FUNET,1456945876.97008,1456945988.62717,0,111.657,10485760000
BILS,FUNET,1456946329.42595,1456946450.5874,0,121.161,10485760000
BILS,FUNET,1456946793.66117,1456946900.29036,0,106.629,10485760000
BILS,FUNET,1456947220.65363,1456947342.45028,0,121.796,10485760000
BILS,FUNET,1456947678.73642,1456947789.55808,0,110.821,10485760000
BILS,FUNET,1456948120.47814,1456948249.8674,0,129.389,10485760000
BILS,FUNET,1456948571.32178,1456948706.54453,0,135.222,10485760000
BILS,FUNET,1456949045.67126,1456949180.3881,0,134.716,10485760000
BILS,FUNET,1456949508.51359,1456949641.38214,0,132.868,10485760000
BILS,FUNET,1456949974.35053,1456950119.15207,0,144.801,10485760000
BILS,FUNET,1456950439.85934,1456950557.65009,0,117.79,10485760000
BILS,FUNET,1456950892.64022,1456951042.50584,0,149.865,10485760000
BILS,FUNET,1456951386.01084,1456951488.14487,0,102.134,10485760000
BILS,FUNET,1456951823.88637,1456951945.38595,0,121.499,10485760000
BILS,FUNET,1456952266.73424,1456952391.38251,0,124.648,10485760000
BILS,FUNET,1456952718.14113,1456952852.22303,0,134.081,10485760000
BILS,FUNET,1456953172.74197,1456953307.65097,0,134.909,10485760000
BILS,FUNET,1456953625.38999,1456953757.14212,0,131.752,10485760000
BILS,FUNET,1456954075.65272,1456954230.49505,0,154.842,10485760000
BILS,FUNET,1456954547.58056,1456954673.56304,0,125.982,10485760000
BILS,FUNET,1456955004.2643,1456955148.17779,0,143.913,10485760000
BILS,FUNET,1456955473.04209,1456955609.01123,0,135.969,10485760000
BILS,FUNET,1456955951.75116,1456956103.73556,0,151.984,10485760000
BILS,FUNET,1456956437.36721,1456956573.9119,0,136.544,10485760000
